line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,rolling_volatility,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,volatility
41,Captain,"Shipwracking storms and direful thunders break,",1,2,2,"Act 1, Scene 2",0.451,0.549,0.0,-0.6249,neg,-0.08705454545454545,0.21776,0.3551981658173363,-0.39050001,-0.0487226,0,1,-0.2727272727272727,-0.054897402597402604,-0.04478181818181819,
42,Captain,So from that spring whence comfort seemed to,1,2,2,"Act 1, Scene 2",0.0,0.737,0.263,0.3612,pos,-0.08705454545454545,0.28152,0.38882126099275993,0.13046544000000002,-0.0487226,1,0,-0.2727272727272727,-0.042106926406926405,-0.05411818181818183,
43,Captain,come,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.07771818181818183,0.40337999999999996,0.4285814216692085,0.0,-0.04776375545454545,0,0,-0.18181818181818182,-0.032770562770562776,-0.0447818181818182,
44,Captain,"Discomfort swells. Mark, King of Scotland, mark:",1,2,2,"Act 1, Scene 2",0.318,0.682,0.0,-0.4215,neg,-0.11055454545454547,0.38686,0.49249934314677,-0.17766225,-0.05962425,0,1,-0.2727272727272727,-0.086578354978355,-0.05411818181818186,
45,Captain,"No sooner justice had, with valor armed,",1,2,2,"Act 1, Scene 2",0.499,0.501,0.0,-0.6093,neg,-0.06468181818181819,0.31462,0.44589000325192296,-0.37124648999999993,-0.04398144090909091,0,1,-0.09090909090909094,-0.0025341991341991457,0.07657272727272728,
46,Captain,"Compelled these skipping kerns to trust their heels,",1,2,2,"Act 1, Scene 2",0.0,0.571,0.429,0.5423,pos,-0.06468181818181819,0.31462,0.44589000325192296,0.29408929,-0.04398144090909091,1,0,-0.09090909090909094,0.019313419913419894,0.07657272727272725,
47,Captain,"But the Norweyan lord, surveying vantage,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.007872727272727283,0.30256,0.4356403826552354,0.0,-0.00848144,0,0,0.0,0.07123203463203462,0.04003636363636362,
48,Captain,"With furbished arms and new supplies of men,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.08074545454545455,0.26108000000000003,0.35989600581279024,0.0,-0.03797394909090909,0,0,-0.18181818181818182,-0.0016406926406926509,-1.3877787807814457e-17,
49,Captain,Began a fresh assault.,1,2,2,"Act 1, Scene 2",0.469,0.247,0.284,-0.3612,neg,-0.12245454545454547,0.15262,0.27002673571333624,-0.13046544000000002,-0.05711008,0,1,-0.2727272727272727,-0.04094978354978357,-0.04170909090909093,
50,Duncan,"Dismayed not this our captains, Macbeth and",1,2,2,"Act 1, Scene 2",0.326,0.674,0.0,-0.4404,neg,0.08845,0.25427999999999995,0.3607657855174185,-0.19395216,0.040715437,0,1,0.2,0.17729761904761904,0.17091363636363638,
51,Duncan,Banquo?,1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,0.15675454545454545,0.35306,0.3995593322649341,0.0,0.10112894636363637,0,0,0.2727272727272727,0.22208311688311688,0.22553636363636365,
52,Captain,"Yes, as sparrows eagles, or the hare the lion.",1,2,2,"Act 1, Scene 2",0.0,0.748,0.252,0.4019,pos,-0.08413636363636366,0.15262,0.27002673571333624,0.16152360999999998,-0.040958966363636364,1,0,-0.18181818181818182,-0.048564935064935096,0.033945454545454515,
53,Captain,"If I say sooth, I must report they were",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.028745454545454564,0.2407,0.3368936004141366,0.0,-0.007209285454545464,0,0,-0.09090909090909088,0.0030545454545454313,0.08933636363636362,
54,Captain,"As cannons overcharged with double cracks,",1,2,2,"Act 1, Scene 2",0.0,1.0,0.0,0.0,neu,-0.09196363636363639,0.26022,0.3593437602074091,0.0,-0.0360755490909091,0,0,-0.2727272727272727,-0.06016363636363639,0.04003636363636362,
