line_number,speaker,text,act,scene,scene_id,act_scene,neg,neu,pos,compound,vader_label,rolling_compound,rolling_intensity,volatility,speech_id,weighted_compound,rolling_weighted,is_pos,is_neg,roll_pos_minus_neg,diff_vs_play_w21,diff_vs_play_w11,rolling_within_speech
935,Ross,’Gainst nature still!,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.0016272727272727348,0.21089999999999995,0.2872083599061837,13,0.0,-0.0007258936363636388,0,0,0.0,0.018955844155844136,-0.03469090909090904,0.0
936,Ross,"Thriftless ambition, that will ravin up",2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.02646363636363637,0.15625999999999993,0.21497878499982262,13,0.0,0.006059400909090906,0,0,0.09090909090909088,0.04379220779220777,0.022981818181818228,0.0
937,Ross,Thine own lives’ means. Then ’tis most like,2,4,11,"Act 2, Scene 4",0.0,0.715,0.285,0.4201,pos,0.02646363636363637,0.08401999999999996,0.18787443146953214,13,0.17648400999999997,0.006059400909090906,1,0,0.09090909090909088,0.030782683982683964,0.022981818181818228,0.14003333333333332
938,Ross,The sovereignty will fall upon Macbeth.,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.07102727272727273,0.08401999999999996,0.18787443146953214,13,0.0,0.02790449545454545,0,0,0.1818181818181818,0.028484415584415557,0.06754545454545459,0.14003333333333332
941,Ross,Where is Duncan’s body?,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.12277272727272727,0.13865999999999995,0.19684338444560423,14,0.0,0.042654880909090906,0,0,0.36363636363636365,0.06434891774891771,0.08458181818181823,0.0
945,Ross,Will you to Scone?,2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.08993636363636365,0.05463999999999995,0.12217875429058818,15,0.0,0.030794386363636354,0,0,0.2727272727272727,0.027898268398268387,-0.01811818181818177,0.0
947,Ross,"Well, I will thither.",2,4,11,"Act 2, Scene 4",0.0,0.588,0.412,0.2732,pos,0.12825454545454545,0.05463999999999995,0.12217875429058818,16,0.07463824,0.046945499999999994,1,0,0.36363636363636365,0.0662164502164502,0.031836363636363676,0.2732
950,Ross,"Farewell, father.",2,4,11,"Act 2, Scene 4",0.0,1.0,0.0,0.0,neu,0.10955454545454546,0.11383999999999994,0.15609012781082582,17,0.0,0.04309891,0,0,0.2727272727272727,0.03139740259740258,0.02930909090909095,0.0
1260,Ross,"His absence, sir,",3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.07136363636363638,0.11383999999999994,0.15609012781082582,18,0.0,0.027054909090909088,0,0,0.1818181818181818,-0.08899826839826841,-0.06837272727272722,0.0
1261,Ross,Lays blame upon his promise. Please ’t your,3,4,15,"Act 3, Scene 4",0.2,0.417,0.383,0.296,pos,0.07136363636363638,0.14349999999999996,0.2014429199550085,18,0.08761599999999999,0.027054909090909088,1,0,0.1818181818181818,-0.09531255411255413,-0.03944545454545449,0.148
1262,Ross,Highness,3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.07136363636363638,0.18463999999999997,0.25258804999445233,18,0.0,0.027054909090909088,0,0,0.1818181818181818,-0.09531255411255413,-0.03458181818181813,0.09866666666666667
1263,Ross,To grace us with your royal company?,3,4,15,"Act 3, Scene 4",0.0,0.682,0.318,0.4215,pos,0.07136363636363638,0.18463999999999997,0.25258804999445233,18,0.17766225,0.027054909090909088,1,0,0.1818181818181818,-0.06126493506493508,-0.01400909090909086,0.23916666666666667
1273,Ross,"Gentlemen, rise. His Highness is not well.",3,4,15,"Act 3, Scene 4",0.232,0.768,0.0,-0.2057,neg,0.05121818181818183,0.12543999999999994,0.22948900409387796,19,-0.042312489999999994,0.020511665454545455,0,1,0.1818181818181818,-0.08266753246753247,-0.16691818181818177,-0.2057
1352,Ross,"What sights, my",3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.10189090909090909,0.12543999999999994,0.22948900409387796,20,0.0,0.048756643636363645,0,0,0.2727272727272727,-0.0003995670995671219,0.13689090909090912,0.0
1353,Ross,lord?,3,4,15,"Act 3, Scene 4",0.0,1.0,0.0,0.0,neu,0.11693636363636366,0.041139999999999954,0.09199183659434085,20,0.0,0.05124666636363637,0,0,0.36363636363636365,0.04187922077922078,0.04561818181818186,0.0
1657,Ross,"You must have patience, madam.",4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,0.17033636363636362,0.010319999999999956,0.02307622152779626,21,0.0,0.11422662636363637,0,0,0.36363636363636365,0.23667445887445882,0.32518181818181824,0.0
1661,Ross,You know not,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,0.17033636363636362,0.12179999999999995,0.2445307342646318,22,0.0,0.11422662636363637,0,0,0.36363636363636365,0.26300303030303024,0.16421818181818187,0.0
1662,Ross,Whether it was his wisdom or his fear.,4,2,19,"Act 4, Scene 2",0.254,0.476,0.27,0.0516,pos,0.1320181818181818,0.15489999999999995,0.23493484203072135,22,0.00266256,0.09807551272727273,1,0,0.2727272727272727,0.17629437229437225,0.16060909090909098,0.0258
1672,Ross,"My dearest coz,",4,2,19,"Act 4, Scene 2",0.0,0.357,0.643,0.5574,pos,0.0838909090909091,0.33157999999999993,0.3779605296853099,23,0.31069476,0.052797374545454544,1,0,0.2727272727272727,0.07463852813852812,0.06482727272727279,0.5574
1673,Ross,"I pray you school yourself. But for your husband,",4,2,19,"Act 4, Scene 2",0.0,0.829,0.171,0.1655,pos,0.0838909090909091,0.33157999999999993,0.3779605296853099,23,0.02739025,0.052797374545454544,1,0,0.2727272727272727,0.10685281385281384,0.030118181818181898,0.36145
1674,Ross,"He is noble, wise, judicious, and best knows",4,2,19,"Act 4, Scene 2",0.0,0.327,0.673,0.8834,pos,0.07060909090909091,0.32125999999999993,0.3880852457901486,23,0.78039556,0.0508569009090909,1,0,0.18181818181818182,0.09189956709956708,0.03011818181818189,0.5354333333333333
1675,Ross,The fits o’ th’ season. I dare not speak much,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,0.0027090909090909236,0.35679999999999995,0.5762950051839769,23,0.0,0.00014239090909090086,0,0,0.09090909090909094,0.00048051948051946796,-0.039218181818181756,0.3496333333333334
1676,Ross,further;,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,-0.0019818181818181723,0.32369999999999993,0.5736656238611478,23,0.0,-9.966000000001203e-05,0,0,0.0,0.02302294372294371,0.004690909090909155,0.29446666666666665
1677,Ross,But cruel are the times when we are traitors,4,2,19,"Act 4, Scene 2",0.394,0.606,0.0,-0.7351,neg,-0.006672727272727263,0.17623999999999995,0.31875324782659054,23,-0.54037201,-0.0003417109090909211,0,1,-0.09090909090909094,0.03426536796536794,6.418476861114186e-17,-0.24503333333333333
1678,Ross,And do not know ourselves; when we hold rumor,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,-0.11415454545454545,0.32561999999999997,0.3838733215528266,23,0.0,-0.06408669000000002,0,0,-0.2727272727272727,-0.05718787878787881,4.163336342344337e-17,-0.24503333333333333
1679,Ross,"From what we fear, yet know not what we fear,",4,2,19,"Act 4, Scene 2",0.231,0.579,0.19,-0.1461,neg,-0.08429999999999999,0.33593999999999996,0.3734839260262747,23,-0.021345210000000003,-0.04440060272727273,0,1,-0.2727272727272727,-0.024876190476190496,6.938893903907228e-17,-0.29373333333333335
1680,Ross,But float upon a wild and violent sea,4,2,19,"Act 4, Scene 2",0.433,0.567,0.0,-0.7469,neg,-0.11970909090909089,0.18891999999999995,0.3175742228204297,23,-0.5578596100000001,-0.09316954363636366,0,1,-0.2727272727272727,-0.06571861471861473,8.326672684688674e-17,-0.2976666666666667
1681,Ross,Each way and move—I take my leave of you.,4,2,19,"Act 4, Scene 2",0.13,0.87,0.0,-0.0516,neg,-0.16404545454545452,0.31389999999999996,0.3463023751001426,23,-0.00266256,-0.1147923881818182,0,1,-0.3636363636363636,-0.08705497835497837,-0.04433636363636355,-0.3148666666666667
1682,Ross,Shall not be long but I’ll be here again.,4,2,19,"Act 4, Scene 2",0.0,1.0,0.0,0.0,neu,-0.22935454545454545,0.3834599999999999,0.505510964272784,23,0.0,-0.1617104390909091,0,0,-0.45454545454545453,-0.1523640692640693,-0.06530909090909084,-0.26616666666666666
1683,Ross,Things at the worst will cease or else climb upward,4,2,19,"Act 4, Scene 2",0.313,0.687,0.0,-0.6249,neg,-0.16721818181818182,0.33286,0.46412699016540726,23,-0.39050001,-0.11282776181818183,0,1,-0.45454545454545453,-0.06368484848484854,-0.004690909090909023,-0.2255
1684,Ross,"To what they were before.—My pretty cousin,",4,2,19,"Act 4, Scene 2",0.0,0.652,0.348,0.4939,pos,-0.16721818181818182,0.4200799999999999,0.5275203105094627,23,0.24393721000000002,-0.11282776181818183,1,0,-0.45454545454545453,-0.05580389610389615,5.551115123125783e-17,-0.043666666666666666
1685,Ross,Blessing upon you.,4,2,19,"Act 4, Scene 2",0.0,0.385,0.615,0.4939,pos,-0.2118363636363636,0.5637599999999999,0.6103537973995082,23,0.24393721000000002,-0.1477637981818182,1,0,-0.45454545454545453,-0.0525935064935065,0.001063636363636461,0.12096666666666667
1687,Ross,"I am so much a fool, should I stay longer",4,2,19,"Act 4, Scene 2",0.26,0.74,0.0,-0.4877,neg,-0.14393636363636364,0.44909999999999994,0.5545082569268018,24,-0.23785129000000002,-0.09704928818181818,0,1,-0.3636363636363636,0.03800649350649346,-0.0036272727272726735,-0.4877
1688,Ross,It would be my disgrace and your discomfort.,4,2,19,"Act 4, Scene 2",0.5,0.5,0.0,-0.7184,neg,-0.1871272727272727,0.35032,0.47007221041027303,24,-0.5160985600000001,-0.12202659090909092,0,1,-0.3636363636363636,-0.0401891774891775,-0.04681818181818173,-0.6030500000000001
1689,Ross,I take my leave at once.,4,2,19,"Act 4, Scene 2",0.194,0.806,0.0,-0.0516,neg,-0.14146363636363635,0.3789199999999999,0.33329873537113797,24,-0.00266256,-0.09908974636363638,0,1,-0.2727272727272727,-0.019925541125541166,-0.0579636363636363,-0.41923333333333335
1940,Ross,"Sir, amen.",4,3,20,"Act 4, Scene 3",0.0,1.0,0.0,0.0,neu,-0.08465454545454544,0.28137999999999996,0.3635000715268154,25,0.0,-0.06358974545454546,0,0,-0.18181818181818182,-0.21739264069264075,-0.09108181818181812,0.0
1942,Ross,"Alas, poor country,",4,3,20,"Act 4, Scene 3",0.839,0.161,0.0,-0.6369,neg,-0.13549999999999998,0.24303999999999998,0.3123999247759191,26,-0.40564161000000004,-0.08615468818181819,0,1,-0.3636363636363636,-0.24786666666666668,-0.13598181818181812,-0.6369
1943,Ross,Almost afraid to know itself. It cannot,4,3,20,"Act 4, Scene 3",0.0,1.0,0.0,0.0,neu,-0.18973636363636362,0.3331799999999999,0.46040641068516847,26,0.0,-0.10928964272727275,0,0,-0.5454545454545454,-0.24122683982683985,-0.13917272727272723,-0.31845
1944,Ross,"Be called our mother, but our grave, where nothing",4,3,20,"Act 4, Scene 3",0.298,0.702,0.0,-0.5267,neg,-0.10536363636363634,0.3331799999999999,0.46040641068516847,26,-0.27741288999999997,-0.07003478363636365,0,1,-0.3636363636363636,-0.13103030303030305,-0.06999999999999994,-0.38786666666666664
1945,Ross,But who knows nothing is once seen to smile;,4,3,20,"Act 4, Scene 3",0.0,0.711,0.289,0.5023,pos,-0.04005454545454545,0.21887999999999996,0.3648227418898115,26,0.25230528999999996,-0.02311673272727273,1,0,-0.2727272727272727,-0.04564978354978358,-0.004690909090909044,-0.008133333333333326
1946,Ross,Where sighs and groans and shrieks that rent the air,4,3,20,"Act 4, Scene 3",0.0,1.0,0.0,0.0,neu,-0.0754,0.23941999999999997,0.3664462375301458,26,0.0,-0.040506696363636366,0,0,-0.2727272727272727,-0.08099523809523813,4.163336342344337e-17,-0.008133333333333326
1947,Ross,"Are made, not marked; where violent sorrow seems",4,3,20,"Act 4, Scene 3",0.271,0.478,0.251,-0.0654,neg,-0.0754,0.22215999999999997,0.2920106453538983,26,-0.00427716,-0.040506696363636366,0,1,-0.2727272727272727,-0.09400476190476194,-0.06443636363636358,0.1456333333333333
1948,Ross,A modern ecstasy. The dead man’s knell,4,3,20,"Act 4, Scene 3",0.326,0.379,0.295,-0.1027,neg,-0.01749999999999999,0.12169999999999996,0.22019715711153068,26,-0.010547289999999999,-0.0036301863636363633,0,1,-0.18181818181818182,-0.014257142857142888,-0.019536363636363584,-0.05603333333333333
1949,Ross,"Is there scarce asked for who, and good men’s lives",4,3,20,"Act 4, Scene 3",0.0,0.756,0.244,0.4404,pos,0.007336363636363646,0.20977999999999994,0.3150703286569525,26,0.19395216,0.003155108181818182,1,0,-0.09090909090909094,0.010579220779220749,0.005300000000000053,0.09076666666666666
1950,Ross,"Expire before the flowers in their caps,",4,3,20,"Act 4, Scene 3",0.0,1.0,0.0,0.0,neu,0.08005454545454546,0.19669999999999996,0.3147785539073462,26,0.0,0.03515975636363636,0,0,0.09090909090909094,0.05747359307359304,0.03013636363636369,0.11256666666666666
1951,Ross,Dying or ere they sicken.,4,3,20,"Act 4, Scene 3",0.42,0.58,0.0,-0.4404,neg,0.09436363636363637,0.17615999999999996,0.31140982643455567,26,-0.19395216,0.051786919999999986,0,1,0.09090909090909094,0.04036839826839824,0.09010909090909096,0.0
1954,Ross,That of an hour’s age doth hiss the speaker.,4,3,20,"Act 4, Scene 3",0.0,1.0,0.0,0.0,neu,0.09436363636363637,0.14271999999999996,0.256417253709652,27,0.0,0.051786919999999986,0,0,0.09090909090909094,0.010039826839826807,0.0251545454545455,0.0
1955,Ross,Each minute teems a new one.,4,3,20,"Act 4, Scene 3",0.0,1.0,0.0,0.0,neu,0.1003090909090909,0.19735999999999995,0.2919680804471614,27,0.0,0.05217575272727271,0,0,0.18181818181818182,-0.030067099567099603,0.021836363636363668,0.0
1957,Ross,"Why, well.",4,3,20,"Act 4, Scene 3",0.0,0.323,0.677,0.2732,pos,0.1496818181818182,0.24121999999999993,0.2708990254689009,28,0.07463824,0.07076661181818181,1,0,0.36363636363636365,0.043224675324675305,-0.028799999999999937,0.2732
1959,Ross,Well too.,4,3,20,"Act 4, Scene 3",0.0,0.323,0.677,0.2732,pos,0.10964545454545456,0.24121999999999993,0.2708990254689009,29,0.07463824,0.05313459727272726,1,0,0.2727272727272727,-0.017859307359307394,-0.04929999999999994,0.2732
